"code","name","credits","requisites","position","failrate"
"ADMI100-90","ADMINISTRACION DE EMPRESAS","6","BAIN009-07, INFO035-08","5","0.063752276867031"
"INFO164-00","TEORIA DE AUTOMATAS","6","INFO053-07","5","0.248927038626609"
"INFO172-00","INVESTIGACION OPERATIVA I","5","BAIN036-07","5","0.234657039711191"
"INFO175-08","TALLER DE CONSTRUCCION DE SOFTWARE","4","INFO035-08, INFO053-07","5","0.0490196078431373"
"INFO184-08","ARQUITECTURA DE COMPUTADORES","5","BAIN019-07, BAIN037-07, BAIN038-07","5","0.271375464684015"
"BAIN009-07","COMUNICACION: IDIOMA ESPAÑOL","4",,"1","0.0764392839864538"
"BAIN012-07","GEOMETRIA PARA INGENIERIA","6",,"1","0.534302515517805"
"BAIN017-07","ALGEBRA PARA INGENIERIA","6",,"1","0.509282488710487"
"BAIN019-07","QUIMICA PARA INGENIERIA","4",,"1","0.311475409836066"
"DYRE060-90","EDUCACIÓN FÍSICA Y SALUD","4",,"1","0"
"INFO013-07","INTRODUCCION A LA PROGRAMACION","4",,"1","0.385496183206107"
"INFO015-08","TALLER DE INGENIERIA I","4",,"1","0.105960264900662"
"BAIN036-07","ALGEBRA LINEAL PARA INGENIERIA","5","BAIN017-07","2","0.474564127059947"
"BAIN037-07","CALCULO I PARA INGENIERIA","5","BAIN017-07","2","0.538184132371659"
"BAIN038-07","FISICA I PARA INGENIERIA","8","BAIN012-07, BAIN017-07","2","0.474528301886792"
"BAIN039-07","COMUNICACION: IDIOMA INGLES","4",,"2","0.205673758865248"
"INFO023-08","PROGRAMACION","4","INFO013-07","2","0.308108108108108"
"INFO025-08","TALLER DE INGENIERIA II","4","BAIN012-07, BAIN017-07, INFO015-08","2","0.0516795865633075"
"BAIN041-07","ECUACIONES DIFERENCIALES PARA INGENIERIA","5","BAIN037-07","3","0.421555252387449"
"BAIN042-07","CALCULO II PARA INGENIERIA","5","BAIN037-07","3","0.515432098765432"
"BAIN043-07","FISICA II PARA INGENIERIA","6","BAIN037-07, BAIN038-07","3","0.328267477203647"
"INFO033-07","PROGRAMACION ORIENTADA A OBJETOS","4","INFO023-08","3","0.217073170731707"
"INFO035-08","TALLER DE INGENIERIA III","4","INFO025-08","3","0.0456026058631922"
"INFO043-07","ESTRUCTURAS DISCRETAS","6","BAIN036-07, INFO013-07","3","0.323607427055703"
"BAIN052-07","ESTADISTICA Y PROBABILIDADES PARA INGENIERIA","4","BAIN036-07","4","0.278114186851211"
"BAIN053-07","METODOS NUMERICOS PARA INGENIERIA","4","BAIN041-07","4","0.414728682170543"
"BAIN054-07","FISICA III PARA INGENIERIA","8","BAIN041-07, BAIN042-07","4","0.207843137254902"
"ELECT01","OPTATIVO 1","0",,"4","0"
"INFO045-08","TALLER","6","BAIN041-07, BAIN042-07, INFO035-08","4","0.00826446280991736"
"INFO053-07","ESTRUCTURAS DE DATOS Y ALGORITMOS","6","INFO035-08, INFO043-07","4","0.399449035812672"
"CIDI100-90","INGLES INSTRUMENTAL II","4",,"0","0.158730158730159"
"CIDI108-02","INGLES FUNCIONAL","4",,"9","0.0555555555555556"
"EICI297-90","PRACTICA PROFESIONAL","8","INFO264-00, INFO266-08, INFO271-08, INFO272-00, INFO281-08, INFO284-08","9","0"
"ELECT20","OPTATIVO PROFESIONAL 1","0",,"9",
"INFO251-08","SEMINARIO DE ETICA PROFESIONAL","2","INFO264-00, INFO272-00, INFO281-08","9","0"
"INFO252-97","PROYECTO I","4","INFO264-00, INFO271-08, INFO272-00","9","0"
"INFO268-00","TALLER DE BASE DE DATOS","4","INFO264-00","9","0.0393700787401575"
"INFO273-00","EVALUACION DE DESEMPEÑO","5","INFO173-00, INFO182-00, INFO281-08","9","0.00854700854700855"
"INFO275-08","SISTEMAS DE GESTION ESTRATEGICOS","5","ADMI100-90, INFO270-00, INFO272-00","9","0.0254237288135593"
"EICI245-08","TALLER DE SOFTWARE- PROYECTO INTEGRACIÓN DE TIC","5","INFO189-08, INFO264-00, INFO266-08, INFO281-08, INFO284-08","10","0"
"EICI246-08","ARQUITECTURA DE SISTEMAS","6","INFO264-00, INFO271-08, INFO275-08, INFO281-08, INFO284-08","10","0.0731707317073171"
"EICI247-08","REALIDAD TECNOLOGICA NACIONAL","2","INFO264-00, INFO272-00, INFO281-08","10","0"
"INFO267-00","INTELIGENCIA ARTIFICIAL","6","INFO175-08","10","0.094488188976378"
"INFO274-00","SIMULACION","4","INFO173-00","10","0.040983606557377"
"INFO276-08","SISTEMAS DE GESTION TACTICOS","4","ADMI100-90, INFO270-00, INFO272-00","10","0.00862068965517241"
"EICI255-08","ADMINISTRACION DE TIC","6","EICI245-08, EICI246-08, INFO276-08","11",
"EICI261-08","ESTRATEGIA Y SI","6","EICI246-08, INFO276-08","11",
"EICI298-09","PROYECTO DE TITULO","6",,"11","0.223404255319149"
"ELECT21","OPTATIVO PROFESIONAL 2","0",,"11",
"ELECT22","OPTATIVO PROFESIONAL 3","0",,"11",
"INFO253-08","ANTEPROYECTO DE TITULO","4","EICI245-08, EICI246-08, INFO276-08","11","0.0347826086956522"
"IECO102-05","ECONOMIA GENERAL","4","BAIN042-07, INFO035-08","7","0.120551924473493"
"INFO182-00","SISTEMA OPERATIVO","4","INFO163-08","7","0.21875"
"INFO185-97","COMUNICACIONES","6","BAIN042-07, BAIN052-07, INFO184-08","7","0.0566037735849057"
"INFO189-08","SOFTWARE DE INGENIERIA","4","BAIN043-07, BAIN053-07, INFO045-08, INFO183-00","7","0.125"
"INFO263-08","FUNDAMENTOS DE INGENIERIA DE SOFTWARE","5","ADMI100-90, INFO175-08","7","0.0869565217391304"
"INFO270-00","INGENIERIA DE SISTEMAS","4","INFO164-00","7","0.121794871794872"
"INFO163-08","PROGRAMACION CONCURRENTE","4","INFO053-07","6","0.176470588235294"
"INFO165-00","COMPILADORES","5","INFO164-00","6","0.223300970873786"
"INFO173-00","INVESTIGACION OPERATIVA II","5","BAIN042-07, BAIN052-07, INFO172-00","6","0.196428571428571"
"INFO183-00","ANALISIS DE SISTEMAS LINEALES","5","BAIN041-07, INFO184-08","6","0.272340425531915"
"INFO261-08","BASES DE DATOS","6","INFO164-00","6","0.139423076923077"
"INFO265-08","COMPUTACION GRAFICA","6","INFO035-08, INFO053-07","6","0.0357142857142857"
"INFO264-00","TALLER INGENIERIA DE SOFTWARE","6","INFO035-08, INFO261-08, INFO263-08","8","0.0344827586206897"
"INFO266-08","INTERFAZ HUMANO - COMPUTADOR","6","INFO263-08","8","0.0479452054794521"
"INFO271-08","SISTEMAS DE INFORMACION","4","ADMI100-90, IECO102-05, INFO270-00","8","0.0779220779220779"
"INFO272-00","INGENIERIA ECONOMICA","4","IECO102-05, INFO173-00","8","0.142011834319527"
"INFO281-08","REDES","6","INFO182-00, INFO185-97","8","0.132530120481928"
"INFO284-08","TALLER DE INTEGRACION DE TIC","6","BAIN054-07, INFO175-08, INFO183-00","8","0.0335570469798658"
